web-scraper-order,web-scraper-start-url,link,link-href
1664684172-1,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 6/ và phát âm,https://www.youtube.com/watch?v=l7jDotG5ZlY
1664684172-2,https://www.youtube.com/user/HocEnglishOnline/videos,Chữ GET,https://www.youtube.com/watch?v=YqXXKV52eis
1664684172-3,https://www.youtube.com/user/HocEnglishOnline/videos,Từ Vựng 1,https://www.youtube.com/watch?v=Ah-IcnK5reY
1664684172-4,https://www.youtube.com/user/HocEnglishOnline/videos,Tiểu Bang và Thành Phố Mỹ,https://www.youtube.com/watch?v=ER8TiV4BGp8
1664684172-5,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 5 (và phát âm),https://www.youtube.com/watch?v=_IKM1-XCwX4
1664684172-6,https://www.youtube.com/user/HocEnglishOnline/videos,Tiếng Việt Lạ Quá,https://www.youtube.com/watch?v=5T3joa-ja9w
1664684172-7,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 4,https://www.youtube.com/watch?v=CGBe1ZNInOw&t=125s
1664684172-8,https://www.youtube.com/user/HocEnglishOnline/videos,Âm Ngắn Và Âm Dài,https://www.youtube.com/watch?v=O0_8JRyr-f0
1664684172-16,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 3,https://www.youtube.com/watch?v=FZtSdfZz6Fo
1664684172-17,https://www.youtube.com/user/HocEnglishOnline/videos,10 Từ Các Bạn Phát Âm Chưa Chuẩn,https://www.youtube.com/watch?v=oJ-OooNgRgc
1664684172-18,https://www.youtube.com/user/HocEnglishOnline/videos,Sành Điệu Về Hàng Hiệu 2,https://www.youtube.com/watch?v=0fDrei2kz-U
1664684172-19,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 2,https://www.youtube.com/watch?v=xr84aZ2zhOs
1664684172-20,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 83: Phát Âm Những Địa Diểm Quen Thuộc,https://www.youtube.com/watch?v=uIgJ0hOKWt4
1664684172-21,https://www.youtube.com/user/HocEnglishOnline/videos,Luyện Nghe 1,https://www.youtube.com/watch?v=akXGSw7H49Y
1664684172-22,https://www.youtube.com/user/HocEnglishOnline/videos,Sành Điệu Về Nước Uống,https://www.youtube.com/watch?v=QmxPDNuN2fY
1664684172-23,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 81: Mắng Sao Cho Sành Điệu,https://www.youtube.com/watch?v=D7SZQzAAa1U
1664684172-24,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 32: Luyện Nghe Thêm,https://www.youtube.com/watch?v=TXd7n_aJxj8
1664684172-25,https://www.youtube.com/user/HocEnglishOnline/videos,Getting A Christmas Tree,https://www.youtube.com/watch?v=BjltY78f03Y
1664684172-26,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 31: Luyện Nghe,https://www.youtube.com/watch?v=Z4P3o8Uolp8
1664684172-27,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 30: Loi Khuyen Nho Nho/ Phrasal Verb Go,https://www.youtube.com/watch?v=7nkDu7rIa6A
1664684172-28,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 29: Tuong Lai,https://www.youtube.com/watch?v=SkFLwzWCY-k
1664684172-29,https://www.youtube.com/user/HocEnglishOnline/videos,Tập 80: Listening Skills..Dân Chủ vs Cộng Hoà,https://www.youtube.com/watch?v=xOJqpnKJHmk
1664684172-30,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 28: Education,https://www.youtube.com/watch?v=V1_KHFTDm5I
1664684172-31,https://www.youtube.com/user/HocEnglishOnline/videos,"English Cơ Bản 27: Find/Look for, Soon/Early/Earlier, Lời khuyên Nho Nhỏ",https://www.youtube.com/watch?v=7R0cUVAh1p8
1664684172-32,https://www.youtube.com/user/HocEnglishOnline/videos,English Cơ Bản 26: Nhung cum tu tu nhien....,https://www.youtube.com/watch?v=w7ESF5fv0-4
